13615,-162.33,-39.94,-63.78,,100,0.1,-162.33,-39.94,-63.78
13617,-294.79,-27.33,-19.62,,102,0.102,-294.79,-27.33,-19.62
13618,-181.25,-178.71,107.94,,103,0.103,-181.25,-178.71,107.94
13619,-174.95,-21.02,-68.69,,104,0.104,-174.95,-21.02,-68.69
13621,-86.64,-39.94,-122.66,,106,0.106,-86.64,-39.94,-122.66
13622,-42.49,-46.25,-73.59,,107,0.107,-42.49,-46.25,-73.59
13623,-42.49,-46.25,-323.82,,108,0.108,-42.49,-46.25,-323.82
13625,-238.02,-109.32,230.61,,110,0.11,-238.02,-109.32,230.61
13626,-156.02,-77.79,93.23,,111,0.111,-156.02,-77.79,93.23
13627,-162.33,-46.25,-63.78,,112,0.112,-162.33,-46.25,-63.78
13629,-55.1,-109.32,-39.25,,114,0.114,-55.1,-109.32,-39.25
13630,-118.18,73.59,-161.91,,115,0.115,-118.18,73.59,-161.91
13632,-86.64,-103.02,-127.57,,117,0.117,-86.64,-103.02,-127.57
13633,-206.48,-39.94,-73.59,,118,0.118,-206.48,-39.94,-73.59
13634,-301.09,-96.71,44.16,,119,0.119,-301.09,-96.71,44.16
13636,-212.79,-166.09,-39.25,,121,0.121,-212.79,-166.09,-39.25
13637,-206.48,-21.02,19.63,,122,0.122,-206.48,-21.02,19.63
13638,-238.02,-27.33,14.72,,123,0.123,-238.02,-27.33,14.72
13640,-174.95,-71.48,-63.78,,125,0.125,-174.95,-71.48,-63.78
13641,-130.79,23.13,-88.31,,126,0.126,-130.79,23.13,-88.31
13643,-124.49,-90.4,44.16,,128,0.128,-124.49,-90.4,44.16
13644,-168.64,-46.25,-24.53,,129,0.129,-168.64,-46.25,-24.53
13645,-124.49,-134.55,161.92,,130,0.13,-124.49,-134.55,161.92
13647,-111.87,-52.56,-83.41,,132,0.132,-111.87,-52.56,-83.41
13648,-105.56,-33.63,122.66,,133,0.133,-105.56,-33.63,122.66
13649,1.66,-46.25,-147.19,,134,0.134,1.66,-46.25,-147.19
13651,-256.94,-8.4,-14.72,,136,0.136,-256.94,-8.4,-14.72
13652,-118.18,-84.09,68.69,,137,0.137,-118.18,-84.09,68.69
13655,-92.95,-84.09,4.91,,140,0.14,-92.95,-84.09,4.91
13656,-36.18,-115.63,93.23,,141,0.141,-36.18,-115.63,93.23
13657,-67.72,-33.63,-103.03,,142,0.142,-67.72,-33.63,-103.03
13659,-105.56,-84.09,-88.31,,144,0.144,-105.56,-84.09,-88.31
